document_family,filename,parsed_record_count,parse_error
affidavits,2020 Affidavit of Publication-with Publication.pdf,0,
affidavits,2021 Publication doc for webpage.pdf,0,
affidavits,2022 Affidavit of Publication.pdf,0,
affidavits,2023 Affidavit of Publication for webpage.pdf,0,
affidavits,2024 Affidavit of Publication for webpage.pdf,0,
affidavits,2025 Affidavit.Merged.pdf,114,
certificates,05_ 051426- Certificate of Delinquency (1).pdf,143,
certificates,2021 COD filed 6 8 2021 Amended 6 9 2021.pdf,0,
certificates,2022 Certificate of Delinquency w Exh A.pdf,0,
certificates,2023 COD and Exh A.pdf,0,
certificates,2024 Certificate of Delinquency for webpage.pdf,119,
certificates,2025 Cert of Del Exh A scan.pdf,0,
final_orders,2019 FINAL Order of Sale.pdf,0,
final_orders,2020 FINAL ORDER OF SALE 11 17 2020.pdf,0,
final_orders,2021 FINAL ORDER OF SALE scan.pdf,0,
final_orders,2022 FILED Final Order of Sale.pdf,0,
final_orders,2023 Final Order of Sale court signed.pdf,0,
final_orders,27_ 111224- FINAL Order of Sale.pdf,0,
final_orders,52_10242025 Final Order of Sale.pdf,0,
